Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Cervelle, agneau, cuite;Viande;523;130;15,9;316;205;6,93;0,059;3,53;0,21;1,36;1;10,8;0,8;0;0;77,3;8,8
Cervelle, porc, braisée;Viande;576;91;12;220;195;9;0,085;1,82;0,263;1,48;1;12,1;1,07;0;0;75,9;9,51
Cervelle, veau, cuite;Viande;562;156;16;385;214;16;0,038;1,67;0,26;1,61;1;11,5;0,6;0;0;76,9;9,63
Coeur, agneau, cru;Viande;407;114;17;188;298;7,5;0,046;5,01;0,397;1,82;0;16,8;0,4;0;0;78,4;3,09
Coeur, agneau, cuit;Viande;400;63;24;254;188;14;0,055;5,34;0,61;1,54;0;16,7;0,38;0;0;79;2,95
Coeur, boeuf, cru;Viande;388;93,5;18,7;206;260;6,24;0,0335;4,98;0,353;1,3;1,9;16,6;0,6;0;0;79,5;2,59
Coeur, boeuf, cuit;Viande;397;59;21;254;219;5;0,033;5,62;0,559;1,24;3;16,3;0,91;0;0;79;2,82
Coeur, dinde, cru;Viande;390;94;22;222;295;6;0,058;4,73;0,394;1,55;0;16,5;0,215;0;0;79,4;2,86
Coeur, dinde, cuit;Viande;416;90;26;259;291;7;0,065;5,39;0,492;1,6;0;16,4;0,565;0;0;78,3;3,44
Coeur, poulet, cru;Viande;393;69;16;177;176;12;0,089;5,2;0,346;1,62;0;16,4;0,7;0;0;79,5;2,76
Coeur, poulet, cuit;Viande;411;48;20;199;132;19;0,107;4,85;0,502;1,29;0;16,8;0,65;0;0;78,7;3,08
Foie, agneau, cru;Viande;570;73;19;390;290;6;0,32;6,94;9,67;4,32;5;19,1;3,25;0;0;71;5,15
Foie, agneau, cuit;Viande;895;90;22,5;424;286;8,5;0,557;7,53;8,45;6,07;5;26,4;6,49;0;0;56,4;9,09
Foie, génisse, cru;Viande;575;81;19;360;320;6;0,37;5,99;2,5;3,59;13;19;5,09;0;0;70,1;4,46
Foie, génisse, cuit;Viande;691;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;0;27,4;1,26;0;0;64,1;5,5
Foie, poulet, cuit;Viande;671;76;25;405;263;11;0,359;10,6;0,496;3,98;5;24,5;0,8;0;0;66,8;6,51
Foie, veau, cru;Viande;528;64,8;22,4;229;287;5,36;0,24;3,98;15,7;8,52;2,88;15,4;7,33;0;0;72,1;3,82
Foie, veau, cuit;Viande;598;89;28,3;302;450;9;0,286;5,05;20,1;13,2;5;25;1,57;0;0;67,7;3,96
Foie, volaille, cuit;Viande;653;268;18,1;230;0;7,04;0,281;4,8;0,449;3,93;5;24,7;0,17;0;0;67,4;6,21
Gésier, canard, confit, appertisé;Viande;632;766;18,3;126;214;8,5;0;9,4;0;6;32;32,4;0;0;0;63,9;2,1
Langue, boeuf, crue;Viande;774;75,3;16,7;176;250;8;0,0275;2,26;0,15;3,31;2,15;15,1;0,4;0;0;67,7;13,8
Langue, boeuf, cuite;Viande;1010;383;9,44;144;184;14,5;0,0437;3,06;0,127;2,2;5;22,6;3,03;0;0;57,9;15,6
Langue, veau, cuite;Viande;901;64;18;166;162;9;0,047;2,34;0,21;4,16;0;23,4;0;0;0;60,5;13,6
Ris, veau, braisé ou poêlé;Viande;536;59;24;627;435;4;0,021;0,87;0,072;1,56;4;21,8;0;0;0;73,6;4,46
Rognon d'agneau, braisé;Viande;593;210;24,5;325;259;15,5;0,137;12,2;0,51;3,95;10;24,1;0;0;0;68,5;4,96
Rognon de veau, braisé ou poêlé;Viande;701;0;0;0;0;0;0;5;0;4,9;10;26;0;0;0;67,7;7
Rognon, boeuf, cru;Viande;373;198;16;236;235;10,2;0,16;6,87;0,51;1,56;8,73;15,3;0,85;0;0;79,8;2,65
Rognon, boeuf, cuit;Viande;676;94;12;304;135;19;0,185;7,65;0,564;2,97;10;27,1;0;0;0;66,9;5,82
Rognon, cuit (aliment moyen);Viande;679;57,4;7,01;138;76,6;7,96;0,0756;6,79;0,243;4,18;10;26,1;0;0;0;67,6;6,36
Rognon, porc, cuit;Viande;606;80;18;240;143;13;0,149;5,29;0,683;4,15;10;25,4;0;0;0;68,7;4,7
Lait de croissance infantile;Lait;254;32,7;7,6;60;91,2;74,7;0;0;0,007;0;15;1,9;7,41;0;0;87,6;2,6
Graisse de canard;Graisse;3690;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,2;99,8
Graisse d'oie;Graisse;3690;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,2;99,8
Huile de foie de morue;Graisse;3700;0,01;0,04;0;0;0,575;0,001;0,037;0,0035;0,03;400;0;0;0;0;0;100
Huile de poisson;Graisse;3700;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;100
Lard gras, cru;Graisse;2700;640;9;102;177;29;0,001;0,777;0,054;1,14;0,5;7,36;1;0;0;20,5;69
Saindoux;Graisse;3700;1,33;0,667;2,4;0,667;0,6;0,00933;0,0533;0,0133;0,055;1,37;0,06;0;0;0;0,875;100
Beurre allégé (aliment moyen);Graisse;1270;168;2,97;8,24;45,1;14,9;0,294;0,335;0,294;0,294;3,77;3,41;4,47;0;0;62,8;30,6
